pTr0,pTr2,pTr4,pH,pW,pS6,pS,pJ,pX0,pX1R,pX2,pX3,pX4,pX5,pTr0e,pTr2e,pTr3e,pTr4e,pTr5e,pHe,pWe,pS6e,pSe,pJe,pX0e,pX1Re,pX2e,pX3e,pX4e,pX5e,Cancer_type
1.238696808,1.239806641,1.240691713,1.036418222,-0.014619435,1.044694375,-0.014555025,-0.089378671,1.2421762,1.235925728,1.226454035,1.215939528,1.204125699,1.190839126,1.238696808,1.226903508,0.772484732,1.188147272,0.875758769,1.07502866,-0.015081302,1.08619394,-0.014415806,-0.015272925,1.233960779,1.237983881,1.239940202,1.239310612,1.23785617,1.235134359,HBC
0.364582353,0.365197092,0.365834608,0.328374593,-0.082502186,0.329992825,-0.08248028,-0.105129238,0.360111979,0.368667463,0.38024529,0.3903778,0.398684176,0.404935384,0.364582353,0.357341971,0.095100279,0.33499369,0.145896428,0.335206598,-0.082636387,0.343298875,-0.082000084,-0.082722937,0.359903504,0.365804704,0.374423307,0.381796281,0.38881068,0.395172293,HCC
0.626127707,0.62653742,0.627013929,0.588332968,-0.006783554,0.589825572,-0.006768593,-0.078811382,0.621352806,0.630422065,0.642804781,0.653917087,0.663434605,0.671168377,0.626127707,0.611820753,0.709833361,0.59842262,0.68433686,0.596167304,-0.006998908,0.615082784,-0.005878607,-0.007274148,0.617363324,0.627801736,0.639681319,0.651127427,0.661574599,0.672033262,HCC
1.701052239,1.701799632,1.702400078,1.495968219,0.119234676,1.50402229,0.119286809,-0.042854414,1.703993294,1.698651065,1.690602241,1.681819801,1.672147008,1.661481286,1.701052239,1.676766773,1.859199428,1.653832458,1.827604614,1.536350561,0.118629349,1.566648916,0.120150447,0.118104162,1.689093874,1.701137781,1.708858807,1.715429636,1.720043591,1.724564475,HBC
1.458995572,1.459932713,1.460682169,1.250289134,0.042210755,1.254690994,0.042556638,-0.070704136,1.462218463,1.456400742,1.447607004,1.437917776,1.427124087,1.415086273,1.458995572,1.468567506,1.437489247,1.483106166,1.549493434,1.293203262,0.041790318,1.280586358,0.040297456,0.041064746,1.46448967,1.458008641,1.448924422,1.44082307,1.435028522,1.429865772,HBC
0.489201022,0.489718072,0.490278873,0.449357152,-0.050354468,0.448783773,-0.050173338,-0.094565421,0.48458555,0.493385833,0.505347166,0.515946519,0.524829968,0.531787575,0.489201022,0.494046532,0.471280225,0.501846122,0.527014847,0.45862367,-0.050465233,0.453262834,-0.05104987,-0.050853828,0.490309153,0.490268373,0.492641561,0.495787906,0.500347193,0.505328015,HCC
1.81256149,1.813221471,1.813753272,1.609919093,0.160343911,1.617496638,0.1604649,-0.026843651,1.815372711,1.810249528,1.802543867,1.794179161,1.785022735,1.774989101,1.81256149,1.802577954,1.553587597,1.772835427,1.543316613,1.6494728,0.159514169,1.658305774,0.159253187,0.158856118,1.809259124,1.811590051,1.813317857,1.814039696,1.814052135,1.813555958,HBC
0.689206292,0.689566558,0.690004236,0.652792731,0.01647113,0.654015774,0.016525041,-0.069754409,0.684357947,0.693551116,0.706127953,0.717476562,0.727286179,0.735377511,0.689206292,0.682989658,0.536954773,0.665740254,0.523520741,0.660158325,0.016128829,0.666931262,0.016241042,0.01577843,0.685338437,0.690282408,0.698771744,0.706909195,0.714753379,0.72237399,HCC
2.549610442,2.549692652,2.549770724,2.381467971,0.530430643,2.389300946,0.530310976,0.143077396,2.551563491,2.547888153,2.542450714,2.536847126,2.531103762,2.525248074,2.549610442,2.550294702,2.175055231,2.52584263,2.209681849,2.41256248,0.529810801,2.414093087,0.525897305,0.527700355,2.550805668,2.548918495,2.548444619,2.546811978,2.545424015,2.544485155,HBC
1.106140355,1.106173788,1.106354801,1.089242722,0.225821899,1.090610257,0.225739676,0.026366578,1.100806559,1.110818746,1.124678671,1.13758919,1.149329509,1.159784222,1.106140355,1.105958284,0.888506763,1.091701585,0.90047042,1.091823115,0.225598334,1.094465247,0.223644392,0.224426344,1.1048167,1.107374574,1.114618463,1.12142403,1.128476035,1.135846228,HCC
3.827887221,3.826967393,3.826258557,3.783435902,1.687641987,3.787108023,1.687339425,0.860705406,3.828351928,3.827187613,3.82568399,3.824869057,3.825045028,3.826435223,3.827887221,3.797319147,3.015914599,3.726115389,3.086775178,3.787022308,1.688700355,3.829450453,1.692877447,1.688911235,3.812986565,3.828315032,3.846192799,3.86010467,3.873976825,3.886706781,HBC
1.829236332,1.828702932,1.828438806,1.882308346,0.880433546,1.881322167,0.880247863,0.432314597,1.82306061,1.834493233,1.85057844,1.866197807,1.881286577,1.895840144,1.829236332,1.81137543,1.364164333,1.770672225,1.396624827,1.869327946,0.881159311,1.895105009,0.883782056,0.881300449,1.818807554,1.831103976,1.848729028,1.864327819,1.880012171,1.895114545,HCC
0.976906181,0.97704092,0.977301489,0.949614015,0.150239544,0.950749418,0.150249808,-0.011033559,0.971722856,0.981481178,0.994943393,1.007369778,1.01851165,1.028233803,0.976906181,0.979128286,1.090681351,0.98155828,1.032896892,0.956520605,0.149377623,0.952787831,0.148216526,0.149195744,0.976726992,0.978127613,0.982493736,0.987397087,0.992343852,0.997363148,HCC
2.321152464,2.321413762,2.321632473,2.134634715,0.396817441,2.142057331,0.396861271,0.076962069,2.323371515,2.319247399,2.313106894,2.306647462,2.299846175,2.292695477,2.321152464,2.326086788,2.532456032,2.331133166,2.443783115,2.173377003,0.395069123,2.163638159,0.392557205,0.394708978,2.32437086,2.320437913,2.314876771,2.309881425,2.304771855,2.299677118,HBC
0.693821798,0.694178447,0.694613283,0.655533403,0.01851667,0.657653864,0.018487579,-0.068990681,0.688968079,0.698170315,0.710761356,0.722127255,0.731958245,0.74007574,0.693821798,0.688803041,0.62484277,0.682909382,0.631832843,0.664855406,0.017901785,0.673706694,0.017586057,0.017102787,0.689846382,0.695176469,0.70275618,0.711485094,0.719635756,0.728021315,HCC
1.820720704,1.821374289,1.821901066,1.614764006,0.163959982,1.623927992,0.163934241,-0.025493546,1.823522425,1.81841527,1.810734718,1.802400578,1.793281935,1.783294551,1.820720704,1.812854753,1.708954505,1.803186721,1.734788905,1.65777622,0.16264837,1.670283268,0.161630882,0.161197293,1.817228192,1.820241691,1.820361474,1.822128893,1.822683117,1.823539204,HBC
0.216886154,0.217616671,0.21834511,0.183612921,-0.112522022,0.183801973,-0.112429774,-0.11383866,0.212587747,0.2208531,0.231976401,0.241555614,0.249178051,0.254592047,0.216886154,0.222012972,0.541783784,0.225330839,0.436867777,0.191374221,-0.112629775,0.185737074,-0.112637853,-0.112762621,0.218446363,0.217749733,0.219269347,0.221864276,0.224983393,0.22778344,HCC
0.977601977,0.978916481,0.979962283,0.780510999,-0.067687991,0.786260672,-0.067499231,-0.10477504,0.98138537,0.974622009,0.964346812,0.952854198,0.939831313,0.925064729,0.977601977,0.987671203,1.56212424,0.994287147,1.390132976,0.820764228,-0.068103103,0.807658866,-0.068576734,-0.068376567,0.983895249,0.97625482,0.965661667,0.956585531,0.948245076,0.93922719,HBC
6.961025199,6.957649313,6.955011714,7.421114139,8.668053633,7.404574164,8.668368409,7.762847082,6.957841885,6.962832248,6.970970659,6.981893025,6.99657766,7.015727979,6.961025199,7.016446877,7.628262991,7.091663241,7.64486756,7.342825152,8.659013663,7.261179647,8.588523939,8.671946771,6.987497194,6.960359801,6.944264034,6.932467132,6.920663591,6.907983229,HBC
3.601590726,3.599667982,3.598312793,3.940071218,4.829114816,3.927651456,4.829278349,4.336720088,3.59335139,3.608265593,3.629805109,3.652064035,3.67536007,3.699960189,3.601590726,3.632372533,3.9732789,3.674496304,3.975047839,3.880775524,4.824128151,3.836366569,4.784513349,4.831466003,3.614565641,3.602839963,3.601246856,3.602302701,3.603462819,3.604191076,HCC
2.770799604,2.769528115,2.768684361,2.946047674,2.491785658,2.939274055,2.492089407,1.799438494,2.763527587,2.776809799,2.795792608,2.814939241,2.83438812,2.854278917,2.770799604,2.819022976,4.254327332,2.877796369,4.182830961,2.922482419,2.485036741,2.841684083,2.445593362,2.489124493,2.794271797,2.771155355,2.752997084,2.737828957,2.723009562,2.708627093,HCC
5.492366772,5.490142163,5.488408672,5.663896209,4.536162868,5.65733739,4.536725516,3.277483797,5.490893468,5.492998825,5.496617533,5.50203804,5.509921739,5.520746999,5.492366772,5.578621353,8.125095633,5.683270636,8.012183032,5.648770888,4.524007618,5.502796854,4.453820933,4.531195255,5.537395678,5.490121885,5.444742503,5.404265138,5.364213285,5.324820439,HBC
