Pc1.A,Pc1.R,Pc1.N,Pc1.D,Pc1.C,Pc1.E,Pc1.Q,Pc1.G,Pc1.H,Pc1.I,Pc1.L,Pc1.K,Pc1.M,Pc1.F,Pc1.P,Pc1.S,Pc1.T,Pc1.W,Pc1.Y,Pc1.V,Pc2.Hydrophobicity.1,Pc2.Hydrophilicity.1,Pc2.Hydrophobicity.2,Pc2.Hydrophilicity.2,Pc2.Hydrophobicity.3,Pc2.Hydrophilicity.3,Pc2.Hydrophobicity.4,Pc2.Hydrophilicity.4,Pc2.Hydrophobicity.5,Pc2.Hydrophilicity.5,Pc2.Hydrophobicity.6,Pc2.Hydrophilicity.6,Pc2.Hydrophobicity.7,Pc2.Hydrophilicity.7,Pc2.Hydrophobicity.8,Pc2.Hydrophilicity.8,Pc2.Hydrophobicity.9,Pc2.Hydrophilicity.9,Pc2.Hydrophobicity.10,Pc2.Hydrophilicity.10,Pc2.Hydrophobicity.11,Pc2.Hydrophilicity.11,Pc2.Hydrophobicity.12,Pc2.Hydrophilicity.12,Pc2.Hydrophobicity.13,Pc2.Hydrophilicity.13,Pc2.Hydrophobicity.14,Pc2.Hydrophilicity.14,Pc2.Hydrophobicity.15,Pc2.Hydrophilicity.15,Pc2.Hydrophobicity.16,Pc2.Hydrophilicity.16,Pc2.Hydrophobicity.17,Pc2.Hydrophilicity.17,Pc2.Hydrophobicity.18,Pc2.Hydrophilicity.18,Pc2.Hydrophobicity.19,Pc2.Hydrophilicity.19,Pc2.Hydrophobicity.20,Pc2.Hydrophilicity.20,Pc2.Hydrophobicity.21,Pc2.Hydrophilicity.21,Pc2.Hydrophobicity.22,Pc2.Hydrophilicity.22,Pc2.Hydrophobicity.23,Pc2.Hydrophilicity.23,Pc2.Hydrophobicity.24,Pc2.Hydrophilicity.24,Pc2.Hydrophobicity.25,Pc2.Hydrophilicity.25,Pc2.Hydrophobicity.26,Pc2.Hydrophilicity.26,Pc2.Hydrophobicity.27,Pc2.Hydrophilicity.27,Pc2.Hydrophobicity.28,Pc2.Hydrophilicity.28,Pc2.Hydrophobicity.29,Pc2.Hydrophilicity.29,Pc2.Hydrophobicity.30,Pc2.Hydrophilicity.30,Class
57.38764507,20.77828528,13.85219019,28.69382254,7.915537251,37.59880194,19.78884313,42.54601273,7.915537251,39.57768626,47.49322351,38.5882441,15.8310745,17.80995882,62.33485585,36.60935979,47.49322351,4.947210782,10.88386372,49.47210782,-0.000207981,5.29E-05,-0.001148249,-0.000412194,0.001072815,0.002295699,-0.000987354,0.001039553,0.001715228,0.003338449,-0.002152591,-0.001180335,-0.002451045,-0.003992066,0.002815539,0.001912211,0.00128163,0.002567808,0.000726193,0.002033231,0.002342662,0.001487992,-0.001773762,-0.000611714,4.32E-05,0.001436209,-0.000541809,0.001591947,-0.002265553,0.001632046,-0.002050219,-0.001163921,0.003087379,0.002991101,-0.002065989,-0.001678864,-0.002090126,-0.000930835,0.002245628,0.002421612,-0.002626306,-0.001870384,0.002690428,0.002205964,-0.001679587,-0.001239684,0.00116226,-0.00108215,-0.001208434,-0.000800462,-9.97E-05,-9.88E-05,0.0023454,-0.000101791,0.002159666,0.000857315,0.001307875,0.001707124,-0.004015131,-0.001482163,mithocond
6.853057951,12.72710762,1.958016558,6.853057951,0.979008279,8.811074509,0.979008279,6.853057951,2.937024836,7.83206623,14.68512418,5.874049673,2.937024836,8.811074509,10.76909107,1.958016558,3.916033115,0,8.811074509,1.958016558,0.014267098,0.017318003,-0.003973763,-0.002593748,-0.003921895,0.003232192,-0.010060783,-0.002946191,-0.000212395,-0.001317743,-0.002845108,-0.001965941,-0.004300013,0.00388222,-0.004279354,0.006375135,0.0047472,0.002732907,0.00917705,0.007500473,0.013686595,0.01233612,-0.007237054,-0.001215317,-0.009838091,-0.01048864,-0.006489812,-0.01422952,-0.008783193,-0.000999172,-0.006676987,0.001460136,-0.004267993,-0.002584701,0.002759614,0.000667364,-0.001947923,0.000931111,0.005449469,0.005390105,0.005277992,0.000630532,0.001290346,-2.52E-05,-0.004780787,-0.003380109,-0.014966997,-0.013021323,-0.004430291,0.000693832,0.003710165,0.010654164,0.010005759,0.006118807,0.009584804,0.009601539,0.008668376,0.005531456,-0.003454435,-0.005454317,mithocond
16.14913804,8.499546339,5.099727803,6.799637071,3.399818536,20.39891121,10.19945561,9.349500973,4.249773169,2.549863902,25.49863902,20.39891121,2.549863902,3.399818536,10.19945561,5.949682437,10.19945561,0,4.249773169,15.29918341,-0.001480759,0.00197709,-0.003723301,-0.001742917,0.000352328,0.002877752,0.006762458,0.007776782,-0.002642534,0.004147909,-0.004091259,0.001092944,0.003420411,0.006968854,-0.001892482,-0.000828245,-0.002068765,0.004943342,0.002248005,0.008486941,0.008171102,0.0094511,0.001196894,0.004860191,-0.004165874,0.000610625,0.008409212,0.007426811,0.00064737,0.005921589,7.19E-05,0.005558859,-0.003245567,-0.000656666,0.003359954,0.00592852,7.93E-05,0.005682571,0.000280274,0.006843608,0.002338046,0.0056163,0.001672197,0.00647561,0.002394262,0.004639237,-0.001579563,0.002276161,0.00087957,0.001825111,-0.00190641,0.001750518,-0.00087234,0.003037332,0.000430119,0.001863425,0.004589358,0.011165051,0.000982115,0.003453018,mithocond
56.00067528,42.24612346,30.45650761,40.28118748,12.77208384,54.0357393,29.47403962,62.87795119,13.75455182,44.21105943,60.91301522,49.12339937,23.5792317,30.45650761,31.43897559,38.31625151,39.29871949,3.929871949,23.5792317,50.10586735,-0.002313793,-0.001023263,-0.000343611,-0.001053049,0.001460027,0.001588953,-9.88E-05,0.0020515,-0.002509931,-0.002182402,-0.001795735,-0.002001274,-0.002545331,-0.000388234,0.002115856,0.003921996,-0.000515822,0.000575098,-0.002623566,-0.000621257,0.001673024,0.003249697,0.000374982,0.001726673,0.002053006,0.002452873,0.000915485,0.001258547,0.000193148,0.000915404,0.001052448,0.001602833,-0.001837229,0.001368381,0.0007484,0.003825888,-0.000564943,0.000599201,-0.000183841,0.003220258,-0.002528324,-0.000374394,-0.00021115,0.000489498,-0.003055975,-0.002688465,-0.000487844,0.000891654,0.000743981,0.003080591,-0.005699773,-0.002337359,0.000747785,0.002531992,0.000524746,0.001303555,0.000615334,0.002455082,0.001608148,0.003581344,mithocond
16.19376124,20.24220155,2.024220155,7.084770541,1.012110077,9.108990695,8.096880618,20.24220155,7.084770541,8.096880618,14.16954108,3.036330232,6.072660464,6.072660464,11.13321085,18.21798139,5.060550386,5.060550386,4.048440309,17.20587131,0.002685914,0.002158705,-0.010849663,-0.005896714,-0.000654578,-0.001496191,0.001961243,-0.000876286,-0.011004463,-0.005619955,-0.007672907,-0.002928365,0.001585824,0.004054719,0.000230292,0.004204728,0.00224259,0.005180354,-0.002719181,-0.002197655,-0.001632524,-0.002498077,0.003813713,-0.000811499,0.011441962,0.00432959,-0.005545991,-0.002530819,-0.00251974,0.000868607,0.000297943,0.004136302,-0.004324482,-0.00059639,-0.010140568,-0.002065604,0.001135555,0.003326482,0.000541579,0.000465311,-0.00566576,-0.006732172,-0.001888933,-0.000701747,0.003725121,0.002596431,0.000777948,-0.001135851,-0.000160373,0.001789762,0.010459941,0.006999675,0.007939169,0.004935663,-0.000846857,-0.005501946,-0.000149524,0.002222062,-0.000734256,-0.000118191,mithocond
19.66352482,20.64670106,10.81493865,21.6298773,5.899057445,21.6298773,15.73081985,21.6298773,10.81493865,17.69717233,36.37752091,27.52893474,4.915881204,12.78129113,14.74764361,22.61305354,16.71399609,4.915881204,18.68034858,23.59622978,-0.002653453,0.000348112,-0.004785149,-0.004671219,-0.000683873,0.000374285,0.000830864,0.000788828,0.004321175,0.0063961,0.001958447,0.002328507,0.001854763,-0.001990003,-0.001478222,0.004585851,0.001527187,0.002033912,-0.000325038,9.41E-05,-0.001158283,-0.001136284,-0.002576811,0.002436666,-0.002894342,-0.000496253,0.000591403,-0.001348879,0.000577763,0.002885454,-0.002454518,0.002282185,-0.001678605,0.000187457,-0.003594404,-0.003231639,-0.000305487,-0.000545287,-0.000671737,0.00498942,0.000675531,0.001214278,0.000222454,-0.001122315,0.005457228,0.00887734,-0.003190506,0.002973842,-0.005210103,-4.56E-05,0.002919803,0.004366736,-0.000510372,-0.001716982,0.00314219,0.002854331,-0.00406734,0.001622646,-0.003405911,-0.000946496,mithocond
12.6315141,17.14276914,6.31575705,1.804502014,3.609004029,1.804502014,1.804502014,6.31575705,2.706753021,5.413506043,17.14276914,16.24051813,2.706753021,6.31575705,5.413506043,16.24051813,13.53376511,2.706753021,2.706753021,10.82701209,0.008186653,0.006968545,-0.006731261,-0.006802196,0.000621734,-0.000594767,0.000669897,0.005072965,0.00171822,0.002712421,-0.001850916,-0.002791766,0.00080604,0.001670922,0.006331609,0.003880513,-0.002903176,-0.004278202,2.07E-05,0.001912265,0.00304245,0.003607002,0.008047201,0.003288162,0.002417542,0.000602245,0.003188027,0.003366826,0.005191503,0.006792979,0.008955549,0.004282814,-0.004284295,-0.002631833,-0.002076242,-0.002756631,-0.002170536,-0.001205761,0.001412868,0.003224742,-0.001239587,-0.00231792,-0.002690933,0.000139393,-0.001732344,0.000449147,0.003537586,0.003863684,-0.002471878,0.000654277,0.005576364,0.003084475,0.012480556,0.006919619,0.004365587,0.006636629,0.000483912,0.00018565,0.002629149,0.000280845,mithocond
11.21565642,10.19605129,9.176446164,10.19605129,6.117630776,6.117630776,3.058815388,26.50973336,5.098025647,7.137235906,17.3332872,16.31368207,4.078420517,11.21565642,11.21565642,22.43131285,11.21565642,2.039210259,3.058815388,17.3332872,-0.007151388,-0.002736558,-0.008268801,-0.003882862,-0.001003408,-0.000919169,0.002639823,0.00213167,-0.003805503,-0.001817395,0.000613109,0.002210327,-0.001909538,0.001901403,0.000366048,0.00075683,-0.006191849,-0.000621225,0.005606988,0.006289077,-0.001718281,0.000367233,0.00092197,0.000493015,-0.00432676,-0.00496001,0.006706154,0.007272905,0.000135142,0.0012885,-0.002166426,0.000621103,-0.00188249,0.00157223,0.007913287,0.003025552,-0.001549548,0.000403668,-0.002737701,-0.000316802,-0.001847349,-0.000158839,0.00065795,-0.002110186,0.000892675,0.001052739,-0.002188523,-0.001458287,-0.001242104,0.001716329,-0.000508372,-0.001915529,-0.003758111,-0.004757078,0.000843047,0.001380426,0.002186991,0.001580645,-0.002159157,-0.003082719,mithocond
37.24831784,17.64394003,12.74284558,14.70328336,5.881313344,24.50547227,11.76262669,29.40656672,6.861532234,25.48569116,20.5845967,18.62415892,13.72306447,14.70328336,21.56481559,17.64394003,12.74284558,4.901094453,7.841751125,33.32744228,0.000387435,0.001060415,-0.00599997,-0.003235829,0.000666369,-0.0017507,0.002575559,0.001431995,-8.33E-05,0.00038131,-0.006258696,-0.003956451,-0.003026462,0.002288043,0.004315828,0.006595574,0.000583015,-0.000468666,0.000956823,-0.000523619,-6.38E-05,0.000269223,0.002952891,0.000435087,0.00976116,0.005882018,-0.003777654,-0.002971216,0.000531232,-0.00085836,0.006115276,0.003934303,-0.004279617,-0.002678483,-0.001356142,0.002331117,-0.003788349,-0.003597958,-0.002214523,0.000982232,-0.00185512,-0.001022598,-0.00146496,-0.001626327,0.002768882,0.000244034,0.001099128,-1.22E-05,0.001475012,0.000225432,0.00377621,0.000876655,0.002940651,0.001106154,0.00315203,0.002841669,-0.000221846,0.000779005,-0.000214064,0.001366195,mithocond
6.854504428,11.65265753,0.685450443,6.854504428,2.741801771,8.910855757,5.483603543,4.112702657,3.427252214,0.685450443,9.596306199,7.539954871,4.112702657,3.427252214,6.169053985,1.370900886,1.370900886,0.685450443,3.427252214,4.112702657,0.009102974,0.007439922,0.005781589,0.00964097,0.003036045,0.006195955,0.004039782,0.003975977,0.001187669,0.00639992,0.004997919,0.001332876,0.003384318,0.005330811,0.004260317,0.004032141,0.007149987,0.005165233,0.006326702,0.010388175,0.007716037,0.008123589,0.002686867,0.009992708,0.008982968,0.007347865,0.008460212,0.00625699,0.001154608,0.006972818,0.002758232,0.006876071,0.004342889,0.004195021,0.001320441,0.006928695,0.005675774,0.005627648,0.009882672,0.013345569,0.00232531,0.00653751,0.004656842,0.00391818,0.006737321,0.008128975,-0.001912267,0.002477888,-0.002252963,-0.000679338,0.003003075,0.003326138,0.004753174,0.005346448,0.009952455,0.002630637,0.001285675,0.006380207,0.005027778,0.005089558,mithocond
